ST,STATE,ST_ABBR,COUNTY,FIPS,LOCATION,AREA_SQMI,E_TOTPOP,M_TOTPOP,E_HU,M_HU,E_HH,M_HH,E_POV,M_POV,E_UNEMP,M_UNEMP,E_PCI,M_PCI,E_NOHSDP,M_NOHSDP,E_AGE65,M_AGE65,E_AGE17,M_AGE17,E_DISABL,M_DISABL,E_SNGPNT,M_SNGPNT,E_MINRTY,M_MINRTY,E_LIMENG,M_LIMENG,E_MUNIT,M_MUNIT,E_MOBILE,M_MOBILE,E_CROWD,M_CROWD,E_NOVEH,M_NOVEH,E_GROUPQ,M_GROUPQ,EP_POV,MP_POV,EP_UNEMP,MP_UNEMP,EP_PCI,MP_PCI,EP_NOHSDP,MP_NOHSDP,EP_AGE65,MP_AGE65,EP_AGE17,MP_AGE17,EP_DISABL,MP_DISABL,EP_SNGPNT,MP_SNGPNT,EP_MINRTY,MP_MINRTY,EP_LIMENG,MP_LIMENG,EP_MUNIT,MP_MUNIT,EP_MOBILE,MP_MOBILE,EP_CROWD,MP_CROWD,EP_NOVEH,MP_NOVEH,EP_GROUPQ,MP_GROUPQ,EPL_POV,EPL_UNEMP,EPL_PCI,EPL_NOHSDP,SPL_THEME1,RPL_THEME1,EPL_AGE65,EPL_AGE17,EPL_DISABL,EPL_SNGPNT,SPL_THEME2,RPL_THEME2,EPL_MINRTY,EPL_LIMENG,SPL_THEME3,RPL_THEME3,EPL_MUNIT,EPL_MOBILE,EPL_CROWD,EPL_NOVEH,EPL_GROUPQ,SPL_THEME4,RPL_THEME4,SPL_THEMES,RPL_THEMES,F_POV,F_UNEMP,F_PCI,F_NOHSDP,F_THEME1,F_AGE65,F_AGE17,F_DISABL,F_SNGPNT,F_THEME2,F_MINRTY,F_LIMENG,F_THEME3,F_MUNIT,F_MOBILE,F_CROWD,F_NOVEH,F_GROUPQ,F_THEME4,F_TOTAL,E_UNINSUR,M_UNINSUR,EP_UNINSUR,MP_UNINSUR,E_DAYPOP
12,FLORIDA,FL,Collier,12021,"Collier County, Florida",1996.313931,363922,0,210825,233,140942,1584,44308,3057,7468,1037,43256,1077,37344,1877,112279,90,64368,0,41329,1683,9616,833,133689,322,34270,1831,58772,1525,10696,622,6324,573,7225,616,4184,556,12.3,0.8,4.6,0.6,43256.0,1077.0,13.6,0.7,30.9,0.1,17.7,0.0,11.4,0.5,6.8,0.6,36.7,0.1,9.9,0.5,27.9,0.7,5.1,0.3,4.5,0.4,5.1,0.4,1.1,0.2,0.2273,0.0152,0.0152,0.5455,0.8032,0.1364,0.9091,0.2273,0.1212,0.2121,1.4697,0.1061,0.697,0.9545,1.6515,0.8485,0.9697,0.1061,0.8939,0.2879,0.1515,2.4091,0.4545,6.3335,0.3333,0,0,0,0,0,1,0,0,0,1,0,1,1,1,0,0,0,0,1,3,59734,2773,16.5,0.8,343460
12,FLORIDA,FL,Gulf,12045,"Gulf County, Florida",553.420848,16055,0,9460,112,5359,300,1900,527,452,159,21255,1527,1838,242,3195,90,2633,133,2532,270,406,132,4054,32,75,78,136,78,1926,259,41,34,240,141,2401,271,13.9,3.9,7.4,2.6,21255.0,1527.0,15.1,2.0,19.9,0.6,16.4,0.8,18.6,2.0,7.6,2.4,25.3,0.2,0.5,0.5,1.4,0.8,20.4,2.8,0.8,0.6,4.5,2.6,15.0,1.7,0.3636,0.7121,0.7121,0.5909,2.3787,0.6061,0.5152,0.0909,0.6515,0.4091,1.6667,0.2273,0.3939,0.0455,0.4394,0.1515,0.2576,0.5303,0.0,0.1818,0.8939,1.8636,0.197,6.3484,0.3485,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1555,384,11.4,2.8,14227
12,FLORIDA,FL,Walton,12131,"Walton County, Florida",1037.7417771,65858,0,50699,110,26432,726,9361,1212,1611,362,33731,1904,5553,571,12784,105,13399,0,10602,710,1840,436,10298,24,686,257,10030,799,6887,566,808,222,1506,277,1947,243,14.7,1.9,5.2,1.1,33731.0,1904.0,11.5,1.2,19.4,0.2,20.3,0.0,16.6,1.1,7.0,1.6,15.6,0.0,1.1,0.4,19.8,1.6,13.6,1.1,3.1,0.8,5.7,1.0,3.0,0.4,0.4545,0.1212,0.1212,0.3788,1.0757,0.2121,0.4697,0.5758,0.5455,0.2576,1.8486,0.3788,0.0758,0.303,0.3788,0.1364,0.8939,0.4242,0.6364,0.5606,0.5303,3.0454,0.7879,6.3485,0.3636,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8607,987,13.5,1.5,68214
12,FLORIDA,FL,Lee,12071,"Lee County, Florida",782.0161715,718679,0,388044,528,271861,2297,98969,3961,18842,1398,31924,496,64525,2249,198022,46,129984,0,97224,2141,20119,1106,231301,548,38180,2062,64257,1806,36778,1030,6618,613,13514,893,10305,1129,14.0,0.6,5.9,0.4,31924.0,496.0,12.0,0.4,27.6,0.1,18.1,0.0,13.6,0.3,7.4,0.4,32.2,0.1,5.6,0.3,16.6,0.5,9.5,0.3,2.4,0.2,5.0,0.3,1.4,0.2,0.3939,0.303,0.197,0.4545,1.3484,0.2879,0.8485,0.2727,0.2121,0.3182,1.6515,0.1667,0.5909,0.8333,1.4242,0.7273,0.7879,0.3182,0.4697,0.2576,0.2424,2.0758,0.3636,6.4999,0.3788,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,101742,3335,14.3,0.5,658570
12,FLORIDA,FL,Leon,12073,"Leon County, Florida",666.8313661,288102,0,128876,385,112918,891,56104,2296,12369,844,29754,704,10819,719,35700,65,54014,32,32388,1206,9696,708,124317,157,2034,393,23732,966,10204,507,2063,351,7184,659,14018,811,20.4,0.8,7.8,0.5,29754.0,704.0,6.4,0.4,12.4,0.1,18.7,0.0,11.4,0.4,8.6,0.6,43.2,0.1,0.7,0.1,18.4,0.7,7.9,0.4,1.8,0.3,6.4,0.6,4.9,0.3,0.7576,0.7727,0.3182,0.0303,1.8788,0.5,0.0152,0.3485,0.1212,0.5758,1.0607,0.0303,0.803,0.1667,0.9697,0.5303,0.8636,0.2273,0.2424,0.6818,0.5758,2.5909,0.5303,6.5001,0.3939,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23450,1621,8.2,0.6,278162
12,FLORIDA,FL,Citrus,12017,"Citrus County, Florida",581.9106494,143087,0,79115,165,62762,1091,23437,1954,4292,581,25983,822,13556,1010,51358,131,21373,0,30141,1142,3444,470,16720,71,1208,330,1878,333,17968,972,969,242,3653,470,2574,318,16.7,1.4,8.6,1.2,25983.0,822.0,11.9,0.9,35.9,0.1,14.9,0.0,21.4,0.8,5.5,0.7,11.7,0.0,0.9,0.2,2.4,0.4,22.7,1.2,1.5,0.4,5.8,0.7,1.8,0.2,0.6061,0.8182,0.4848,0.4394,2.3485,0.5909,0.9697,0.0455,0.8788,0.0909,1.9849,0.4848,0.0,0.2576,0.2576,0.0909,0.3788,0.5909,0.1667,0.5758,0.3333,2.0455,0.3485,6.6365,0.4091,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,14590,1346,10.4,1.0,132423
12,FLORIDA,FL,Lake,12069,"Lake County, Florida",950.6974886,335362,0,153983,220,130190,1342,41335,3179,9478,1038,27052,504,26405,1524,88151,128,65569,84,54527,1690,9869,897,98494,367,5768,922,8895,834,29454,1053,2703,438,6878,638,3814,437,12.5,1.0,6.5,0.7,27052.0,504.0,10.7,0.6,26.3,0.1,19.6,0.0,16.4,0.5,7.6,0.7,29.4,0.1,1.8,0.3,5.8,0.5,19.1,0.7,2.1,0.3,5.3,0.5,1.1,0.1,0.2424,0.5,0.4394,0.303,1.4848,0.3485,0.803,0.4697,0.5152,0.4091,2.197,0.6667,0.5606,0.4848,1.0454,0.6061,0.5455,0.5,0.4091,0.4091,0.1515,2.0152,0.2576,6.7424,0.4242,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38370,1875,11.6,0.6,288348
12,FLORIDA,FL,Baker,12003,"Baker County, Florida",585.229847,27785,0,9903,241,8625,380,3664,968,628,288,24070,1914,2886,514,3827,200,6693,104,4342,561,931,254,5145,43,164,110,37,43,3671,363,272,111,167,111,2611,693,14.6,3.8,5.5,2.5,24070.0,1914.0,15.5,2.8,13.8,0.7,24.1,0.4,17.3,2.2,10.8,2.9,18.5,0.2,0.6,0.4,0.4,0.4,37.1,3.4,3.2,1.3,1.9,1.3,9.4,2.5,0.4394,0.1667,0.5758,0.6364,1.8183,0.4848,0.1061,0.9545,0.6061,0.8636,2.5303,0.8939,0.1667,0.0758,0.2425,0.0758,0.0606,0.7727,0.6515,0.0,0.7273,2.2121,0.4394,6.8032,0.4394,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,3143,602,12.5,2.4,22296
12,FLORIDA,FL,Pasco,12101,"Pasco County, Florida",746.668206,510593,0,240220,280,199227,1567,67545,3350,14468,927,27786,392,40540,1509,114764,39,104180,7,81812,1961,15969,838,124785,331,8997,815,15063,766,46795,933,3498,383,11038,646,7578,658,13.5,0.7,6.5,0.4,27786.0,392.0,11.0,0.4,22.5,0.1,20.4,0.0,16.2,0.4,8.0,0.4,24.4,0.1,1.9,0.2,6.3,0.3,19.5,0.4,1.8,0.2,5.5,0.3,1.5,0.1,0.3333,0.5,0.3939,0.3333,1.5605,0.3939,0.6667,0.6212,0.4848,0.5152,2.2879,0.7879,0.3182,0.5606,0.8788,0.4394,0.5758,0.5152,0.2424,0.5,0.2879,2.1213,0.4091,6.8485,0.4545,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,59805,2141,11.8,0.4,410315
12,FLORIDA,FL,Bay,12005,"Bay County, Florida",758.5304618,182482,0,102266,138,70199,1086,26376,2121,5215,624,28017,756,12371,782,30160,73,39406,0,34610,1268,6078,543,42831,638,2179,534,19722,818,13133,767,1399,271,4553,480,2235,316,14.7,1.2,6.0,0.7,28017.0,756.0,9.7,0.6,16.5,0.1,21.6,0.0,19.5,0.7,8.7,0.8,23.5,0.3,1.3,0.3,19.3,0.8,12.8,0.8,2.0,0.4,6.5,0.7,1.2,0.2,0.4545,0.3485,0.3636,0.2424,1.409,0.3182,0.303,0.7424,0.697,0.6061,2.3485,0.803,0.2879,0.3636,0.6515,0.3182,0.8788,0.3788,0.3788,0.697,0.197,2.5304,0.5,6.9394,0.4697,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25251,1740,14.2,1.0,176390
